location,year,category,rank,query
Global,2001,Consumer Brands,1,Nokia
Global,2001,Consumer Brands,2,Sony
Global,2001,Consumer Brands,3,BMW
Global,2001,Consumer Brands,4,Palm
Global,2001,Consumer Brands,5,Adobe
Global,2001,Men,1,Nostradamus
Global,2001,Men,2,Osama bin Laden
Global,2001,Men,3,Eminem
Global,2001,Men,4,Michael Jackson
Global,2001,Men,5,Howard Stern
Global,2001,Movies,1,Harry Potter
Global,2001,Movies,2,Lord of the Rings
Global,2001,Movies,3,Final Fantasy
Global,2001,Movies,4,Tomb Raider
Global,2001,Movies,5,Shrek
Global,2001,MP3 Music Services,1,Morpheus
Global,2001,MP3 Music Services,2,Napster
Global,2001,MP3 Music Services,3,Gnutella
Global,2001,MP3 Music Services,4,Kazaa
Global,2001,MP3 Music Services,5,Audiogalaxy
Global,2001,Music Groups,1,Beatles
Global,2001,Music Groups,2,U2
Global,2001,Music Groups,3,N Sync
Global,2001,Music Groups,4,Backstreet Boys
Global,2001,Music Groups,5,Linkin Park
Global,2001,New Products,1,Windows XP
Global,2001,New Products,2,Xbox
Global,2001,New Products,3,PlayStation 2
Global,2001,New Products,4,GameCube
Global,2001,New Products,5,Nokia 5510
Global,2001,News Resources,1,CNN
Global,2001,News Resources,2,BBC
Global,2001,News Resources,3,New York Times
Global,2001,News Resources,4,MSNBC
Global,2001,News Resources,5,Washington Post
Global,2001,Retailers,1,Amazon
Global,2001,Retailers,2,IKEA
Global,2001,Retailers,3,"Toys ""R"" Us"
Global,2001,Retailers,4,Walmart
Global,2001,Retailers,5,Circuit City
Global,2001,Sports,1,Anna Kournikova
Global,2001,Sports,2,Tour de France
Global,2001,Sports,3,Dale Earnhardt
Global,2001,Sports,4,Wimbledon
Global,2001,Sports,5,US Open
Global,2001,TV Shows,1,Loft Story
Global,2001,TV Shows,2,Big Brother
Global,2001,TV Shows,3,The Simpsons
Global,2001,TV Shows,4,Survivor
Global,2001,TV Shows,5,Gran Hermano
Global,2001,Video Games,1,Counterstrike
Global,2001,Video Games,2,The Sims
Global,2001,Video Games,3,Operation Flashpoint
Global,2001,Video Games,4,Moorhuhn 3
Global,2001,Video Games,5,Wolfenstein
Global,2001,Women,1,Britney Spears
Global,2001,Women,2,Pamela Anderson
Global,2001,Women,3,Jennifer Lopez
Global,2001,Women,4,Madonna
Global,2001,Women,5,Aaliyah
Global,2002,Athletes,1,David Beckham
Global,2002,Athletes,2,Anna Kournikova
Global,2002,Athletes,3,Ronaldo
Global,2002,Athletes,4,Kobe Bryant
Global,2002,Athletes,5,Zinedine Zidane
Global,2002,Consumer Brands,1,Ferrari
Global,2002,Consumer Brands,2,Sony
Global,2002,Consumer Brands,3,Nokia
Global,2002,Consumer Brands,4,Disney
Global,2002,Consumer Brands,5,IKEA
Global,2002,Kids' Images,1,The Simpsons
Global,2002,Kids' Images,2,Pokémon
Global,2002,Kids' Images,3,Snoopy
Global,2002,Kids' Images,4,Superman
Global,2002,Kids' Images,5,Batman
Global,2002,Men,1,Eminem
Global,2002,Men,2,Brad Pitt
Global,2002,Men,3,David Beckham
Global,2002,Men,4,Josh Hartnett
Global,2002,Men,5,2Pac
Global,2002,Movies,1,Spiderman
Global,2002,Movies,2,Harry Potter
Global,2002,Movies,3,Star Wars
Global,2002,Movies,4,Jackass
Global,2002,Movies,5,Scooby Doo
Global,2002,Musicians and Bands,1,Eminem
Global,2002,Musicians and Bands,2,Shakira
Global,2002,Musicians and Bands,3,Madonna
Global,2002,Musicians and Bands,4,Nelly
Global,2002,Musicians and Bands,5,2Pac
Global,2002,News Stories,1,World Cup
Global,2002,News Stories,2,Iraq
Global,2002,News Stories,3,Sniper
Global,2002,News Stories,4,Hurricane Lili
Global,2002,News Stories,5,Hochwasser
Global,2002,Retailers,1,IKEA
Global,2002,Retailers,2,Home Depot
Global,2002,Retailers,3,Walmart
Global,2002,Retailers,4,Best Buy
Global,2002,Retailers,5,Sears
Global,2002,Technology,1,MP3
Global,2002,Technology,2,SMS
Global,2002,Technology,3,WinZip
Global,2002,Technology,4,Linux
Global,2002,Technology,5,FTP
Global,2002,Travel Destinations,1,Paris
Global,2002,Travel Destinations,2,Canada
Global,2002,Travel Destinations,3,New York
Global,2002,Travel Destinations,4,India
Global,2002,Travel Destinations,5,Las Vegas
Global,2002,TV Shows,1,The Simpsons
Global,2002,TV Shows,2,Big Brother
Global,2002,TV Shows,3,The Osbournes
Global,2002,TV Shows,4,South Park
Global,2002,TV Shows,5,SpongeBob SquarePants
Global,2002,Video Games,1,The Sims
Global,2002,Video Games,2,Counter Strike
Global,2002,Video Games,3,GTA 3
Global,2002,Video Games,4,Warcraft 3
Global,2002,Video Games,5,Jedi Knight 2
Global,2002,Women,1,Britney Spears
Global,2002,Women,2,Pamela Anderson
Global,2002,Women,3,Jennifer Lopez
Global,2002,Women,4,Shakira
Global,2002,Women,5,Anna Kournikova
Global,2003,Anime Images,1,Manga
Global,2003,Anime Images,2,Final Fantasy
Global,2003,Anime Images,3,Sailor Moon
Global,2003,Anime Images,4,Yu-Gi-Oh!
Global,2003,Anime Images,5,Dragon Ball Z
Global,2003,Consumer Brands,1,Ferrari
Global,2003,Consumer Brands,2,Sony
Global,2003,Consumer Brands,3,BMW
Global,2003,Consumer Brands,4,Disney
Global,2003,Consumer Brands,5,Ryanair
Global,2003,Earthquake Searches,1,Earthquake
Global,2003,Earthquake Searches,2,California Earthquake
Global,2003,Earthquake Searches,3,Earthquakes
Global,2003,Earthquake Searches,4,Earthquake California
Global,2003,Earthquake Searches,5,California Earthquakes
Global,2003,Fictional Character Images,1,The Simpsons
Global,2003,Fictional Character Images,2,Harry Potter
Global,2003,Fictional Character Images,3,Pokémon
Global,2003,Fictional Character Images,4,Spiderman
Global,2003,Fictional Character Images,5,Winnie the Pooh
Global,2003,Male Celebrity Images,1,Eminem
Global,2003,Male Celebrity Images,2,David Beckham
Global,2003,Male Celebrity Images,3,Orlando Bloom
Global,2003,Male Celebrity Images,4,Justin Timberlake
Global,2003,Male Celebrity Images,5,50 Cent
Global,2003,News Searches,1,Iraq
Global,2003,News Searches,2,Laci Peterson
Global,2003,News Searches,3,Kobe Bryant
Global,2003,News Searches,4,Bertrand Cantat
Global,2003,News Searches,5,RIAA
Global,2003,Searches,1,Britney Spears
Global,2003,Searches,2,Harry Potter
Global,2003,Searches,3,Matrix
Global,2003,Searches,4,Shakira
Global,2003,Searches,5,David Beckham
Global,2004,Car Images,1,Ferrari
Global,2004,Car Images,2,BMW
Global,2004,Car Images,3,Lamborghini
Global,2004,Car Images,4,Nissan Skyline
Global,2004,Car Images,5,Porsche
Global,2004,Cartoons Images,1,The Simpsons
Global,2004,Cartoons Images,2,Pokémon
Global,2004,Cartoons Images,3,South Park
Global,2004,Cartoons Images,4,Garfield
Global,2004,Cartoons Images,5,Hello Kitty
Global,2004,Companies,1,SCO
Global,2004,Companies,2,Johnson & Johnson
Global,2004,Companies,3,ING
Global,2004,Companies,4,GE Aviation
Global,2004,Companies,5,Fleet
Global,2004,Consumer Brands,1,eBay
Global,2004,Consumer Brands,2,Walmart
Global,2004,Consumer Brands,3,MapQuest
Global,2004,Consumer Brands,4,Amazon
Global,2004,Consumer Brands,5,Home Depot
Global,2004,Countries,1,France
Global,2004,Countries,2,China
Global,2004,Countries,3,India
Global,2004,Countries,4,Iraq
Global,2004,Countries,5,Iran
Global,2004,Deaths of 2004,1,Nicholas Berg
Global,2004,Deaths of 2004,2,Christopher Reeve
Global,2004,Deaths of 2004,3,Spalding Gray
Global,2004,Deaths of 2004,4,Marlon Brando
Global,2004,Deaths of 2004,5,Kenneth Bigley
Global,2004,Entertainment,1,Spa
Global,2004,Entertainment,2,Movies
Global,2004,Entertainment,3,Nightclub
Global,2004,Entertainment,4,Pub
Global,2004,Entertainment,5,Zoo
Global,2004,Female Celebrity Images,1,Britney Spears
Global,2004,Female Celebrity Images,2,Christina Aguilera
Global,2004,Female Celebrity Images,3,Pamela Anderson
Global,2004,Female Celebrity Images,4,Paris Hilton
Global,2004,Female Celebrity Images,5,Carmen Electra
Global,2004,Foods,1,Pizza
Global,2004,Foods,2,Sushi
Global,2004,Foods,3,Bakery
Global,2004,Foods,4,Chinese
Global,2004,Foods,5,Italian
Global,2004,Froogle Brand Searches,1,Louis Vuitton
Global,2004,Froogle Brand Searches,2,Nikon
Global,2004,Froogle Brand Searches,3,Canon
Global,2004,Froogle Brand Searches,4,Treo
Global,2004,Froogle Brand Searches,5,Tiffany
Global,2004,Froogle Clothing Searches,1,Bikini
Global,2004,Froogle Clothing Searches,2,Mini Skirt
Global,2004,Froogle Clothing Searches,3,Prom Dresses
Global,2004,Froogle Clothing Searches,4,Lingerie
Global,2004,Froogle Clothing Searches,5,Little Black Dress
Global,2004,Froogle Computer Goods Searches,1,Tablet PC
Global,2004,Froogle Computer Goods Searches,2,Computer
Global,2004,Froogle Computer Goods Searches,3,Laptop
Global,2004,Froogle Computer Goods Searches,4,Headphones
Global,2004,Froogle Computer Goods Searches,5,Computer Speakers
Global,2004,Froogle Electronics Searches,1,iPod
Global,2004,Froogle Electronics Searches,2,Digital Camera
Global,2004,Froogle Electronics Searches,3,MP3
Global,2004,Froogle Electronics Searches,4,Xbox
Global,2004,Froogle Electronics Searches,5,PlayStation 2
Global,2004,Froogle Hobby Searches,1,Poker Chips
Global,2004,Froogle Hobby Searches,2,Airsoft Guns
Global,2004,Froogle Hobby Searches,3,Mountain Bike
Global,2004,Froogle Hobby Searches,4,Pocket Bike
Global,2004,Froogle Hobby Searches,5,Night Vision Goggles
Global,2004,Froogle Shoe Searches,1,UGG Boots
Global,2004,Froogle Shoe Searches,2,Puma
Global,2004,Froogle Shoe Searches,3,Adidas
Global,2004,Froogle Shoe Searches,4,Nike
Global,2004,Froogle Shoe Searches,5,Aerosole
Global,2004,Health Services,1,Doctor
Global,2004,Health Services,2,Hospital
Global,2004,Health Services,3,Massage
Global,2004,Health Services,4,Dentist
Global,2004,Health Services,5,Yoga
Global,2004,Hotel Chains,1,Holiday Inn
Global,2004,Hotel Chains,2,Hampton Inn
Global,2004,Hotel Chains,3,Marriott
Global,2004,Hotel Chains,4,Hilton
Global,2004,Hotel Chains,5,Days Inn
Global,2004,Male Celebrity Images,1,Orlando Bloom
Global,2004,Male Celebrity Images,2,Eminem
Global,2004,Male Celebrity Images,3,Usher
Global,2004,Male Celebrity Images,4,Johnny Depp
Global,2004,Male Celebrity Images,5,Brad Pitt
Global,2004,Men,1,Orlando Bloom
